<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.23	10:00:00	1574.70	1576.19	1573.90	1576.19	6	0	90
2025.12.23	10:01:00	1576.44	1577.19	1576.32	1577.19	7	0	90
2025.12.23	10:02:00	1577.19	1577.19	1577.06	1577.06	2	0	90
2025.12.23	10:03:00	1577.19	1577.19	1577.19	1577.19	1	0	90
2025.12.23	10:04:00	1577.19	1577.19	1577.19	1577.19	1	0	90
2025.12.23	10:05:00	1577.19	1577.19	1576.94	1576.94	3	0	90
2025.12.23	10:06:00	1576.94	1576.94	1576.94	1576.94	1	0	90
2025.12.23	10:07:00	1576.94	1576.94	1576.94	1576.94	1	0	90
2025.12.23	10:08:00	1576.94	1577.06	1576.94	1577.06	2	0	90
2025.12.23	10:09:00	1577.06	1577.06	1577.06	1577.06	1	0	90
2025.12.23	10:10:00	1577.06	1577.06	1577.06	1577.06	1	0	90
2025.12.23	10:11:00	1577.06	1577.06	1577.06	1577.06	1	0	90
2025.12.23	10:12:00	1577.06	1577.19	1577.06	1577.19	2	0	90
2025.12.23	10:13:00	1577.19	1577.19	1577.06	1577.06	2	0	90
2025.12.23	10:14:00	1577.06	1577.06	1577.06	1577.06	1	0	90
2025.12.23	10:15:00	1577.06	1577.07	1577.06	1577.07	2	0	90
2025.12.23	10:16:00	1577.07	1577.33	1577.07	1577.33	3	0	90
2025.12.23	10:17:00	1577.33	1577.58	1577.33	1577.58	2	0	90
2025.12.23	10:18:00	1577.58	1577.71	1577.58	1577.71	2	0	90
2025.12.23	10:19:00	1577.71	1577.75	1577.71	1577.75	4	0	90
2025.12.23	10:20:00	1577.76	1577.78	1577.66	1577.66	3	0	90
2025.12.23	10:21:00	1577.66	1577.68	1577.66	1577.68	3	0	90
2025.12.23	10:22:00	1577.68	1578.32	1577.68	1578.32	8	0	90
2025.12.23	10:23:00	1578.32	1578.47	1578.20	1578.35	6	0	90
2025.12.23	10:24:00	1578.35	1578.37	1578.35	1578.37	3	0	90
2025.12.23	10:25:00	1578.37	1578.37	1578.37	1578.37	1	0	90
2025.12.23	10:26:00	1578.37	1578.38	1578.37	1578.37	3	0	90
2025.12.23	10:27:00	1578.37	1578.37	1578.37	1578.37	1	0	90
2025.12.23	10:28:00	1578.37	1578.38	1578.37	1578.38	2	0	90
2025.12.23	10:29:00	1578.38	1578.38	1578.12	1578.12	4	0	90
2025.12.23	10:30:00	1578.12	1578.12	1578.10	1578.10	3	0	90
2025.12.23	10:31:00	1577.98	1577.98	1577.73	1577.73	6	0	90
2025.12.23	10:32:00	1577.72	1577.72	1577.59	1577.59	2	0	90
2025.12.23	10:33:00	1577.59	1577.59	1577.58	1577.58	2	0	90
2025.12.23	10:34:00	1577.59	1577.60	1577.59	1577.60	2	0	90
2025.12.23	10:35:00	1577.60	1577.74	1577.60	1577.74	3	0	90
2025.12.23	10:36:00	1577.74	1578.25	1577.74	1578.13	6	0	90
2025.12.23	10:37:00	1578.13	1578.25	1578.13	1578.13	3	0	90
2025.12.23	10:38:00	1578.12	1578.12	1578.10	1578.10	3	0	90
2025.12.23	10:39:00	1578.10	1578.10	1577.70	1577.70	4	0	90
2025.12.23	10:40:00	1577.57	1577.57	1577.57	1577.57	1	0	90
2025.12.23	10:41:00	1577.56	1577.56	1577.56	1577.56	1	0	90
2025.12.23	10:42:00	1577.56	1577.56	1577.55	1577.55	2	0	90
2025.12.23	10:43:00	1577.55	1577.55	1577.54	1577.54	2	0	90
2025.12.23	10:44:00	1577.54	1577.54	1577.54	1577.54	1	0	90
2025.12.23	10:45:00	1577.54	1577.54	1577.54	1577.54	1	0	90
2025.12.23	10:46:00	1577.54	1577.54	1577.03	1577.03	5	0	90
2025.12.23	10:47:00	1577.02	1577.02	1576.64	1576.76	6	0	90
2025.12.23	10:48:00	1576.76	1577.01	1576.76	1577.01	3	0	90
2025.12.23	10:49:00	1577.01	1577.01	1577.00	1577.00	2	0	90
2025.12.23	10:50:00	1577.00	1577.00	1577.00	1577.00	1	0	90
2025.12.23	10:51:00	1577.00	1577.00	1576.98	1576.98	3	0	90
2025.12.23	10:52:00	1576.98	1576.98	1576.96	1576.96	3	0	90
2025.12.23	10:53:00	1576.94	1576.94	1576.93	1576.93	2	0	90
2025.12.23	10:54:00	1576.93	1576.93	1576.92	1576.92	2	0	90
2025.12.23	10:55:00	1576.91	1576.91	1576.91	1576.91	1	0	90
2025.12.23	10:56:00	1576.91	1576.91	1576.90	1576.90	2	0	90
2025.12.23	10:57:00	1576.90	1576.90	1576.89	1576.89	2	0	90
2025.12.23	10:58:00	1576.89	1576.89	1576.89	1576.89	1	0	90
2025.12.23	10:59:00	1576.89	1576.89	1576.89	1576.89	1	0	90
2025.12.23	11:00:00	1576.89	1576.89	1576.87	1576.87	3	0	90
2025.12.23	11:01:00	1576.87	1576.87	1576.86	1576.87	3	0	90
2025.12.23	11:02:00	1576.88	1576.89	1576.88	1576.89	2	0	90
2025.12.23	11:03:00	1576.89	1576.91	1576.89	1576.91	2	0	90
2025.12.23	11:04:00	1576.90	1576.90	1576.90	1576.90	1	0	90
2025.12.23	11:05:00	1576.90	1576.90	1576.89	1576.89	2	0	90
2025.12.23	11:06:00	1576.89	1576.89	1576.89	1576.89	1	0	90
2025.12.23	11:07:00	1576.89	1576.89	1576.88	1576.88	2	0	90
2025.12.23	11:08:00	1576.88	1576.88	1576.87	1576.88	3	0	90
2025.12.23	11:09:00	1576.86	1576.86	1576.86	1576.86	1	0	90
2025.12.23	11:10:00	1576.86	1576.86	1576.86	1576.86	1	0	90
2025.12.23	11:11:00	1576.99	1577.14	1576.99	1577.14	4	0	90
2025.12.23	11:12:00	1577.17	1577.17	1577.17	1577.17	1	0	90
2025.12.23	11:13:00	1577.18	1577.18	1577.05	1577.05	2	0	90
2025.12.23	11:14:00	1576.92	1576.92	1576.92	1576.92	1	0	90
2025.12.23	11:15:00	1576.87	1576.88	1576.87	1576.88	2	0	90
2025.12.23	11:16:00	1576.88	1576.90	1576.88	1576.90	3	0	90
2025.12.23	11:17:00	1576.90	1576.91	1576.90	1576.91	2	0	90
2025.12.23	11:18:00	1576.92	1576.94	1576.92	1576.94	3	0	90
2025.12.23	11:19:00	1576.94	1577.21	1576.94	1577.21	6	0	90
2025.12.23	11:20:00	1577.21	1577.24	1577.21	1577.24	4	0	90
2025.12.23	11:21:00	1577.25	1577.27	1577.25	1577.27	2	0	90
2025.12.23	11:22:00	1577.29	1577.30	1577.29	1577.30	2	0	90
2025.12.23	11:23:00	1577.30	1577.30	1577.30	1577.30	1	0	90
2025.12.23	11:24:00	1577.17	1577.17	1576.65	1576.65	5	0	90
2025.12.23	11:25:00	1576.64	1576.64	1576.50	1576.50	3	0	90
2025.12.23	11:26:00	1576.48	1576.48	1576.48	1576.48	1	0	90
2025.12.23	11:27:00	1576.47	1576.47	1576.46	1576.46	2	0	90
2025.12.23	11:28:00	1576.47	1576.47	1576.47	1576.47	1	0	90
2025.12.23	11:29:00	1576.48	1576.48	1576.48	1576.48	1	0	90
2025.12.23	11:30:00	1576.47	1576.72	1576.47	1576.72	3	0	90
2025.12.23	11:31:00	1576.73	1576.87	1576.73	1576.87	4	0	90
2025.12.23	11:32:00	1577.02	1577.28	1577.02	1577.28	5	0	90
2025.12.23	11:33:00	1577.29	1577.29	1577.29	1577.29	1	0	90
2025.12.23	11:34:00	1577.31	1577.31	1577.30	1577.30	2	0	90
2025.12.23	11:35:00	1577.31	1577.31	1577.31	1577.31	1	0	90
2025.12.23	11:36:00	1577.30	1577.30	1577.30	1577.30	1	0	90
2025.12.23	11:37:00	1577.31	1577.32	1577.31	1577.32	2	0	90
2025.12.23	11:38:00	1577.34	1577.36	1577.34	1577.36	3	0	90
2025.12.23	11:39:00	1577.38	1577.38	1577.38	1577.38	1	0	90
2025.12.23	11:40:00	1577.39	1577.53	1577.39	1577.53	3	0	90
2025.12.23	11:41:00	1577.54	1577.56	1577.54	1577.56	3	0	90
2025.12.23	11:42:00	1577.57	1577.58	1577.57	1577.58	2	0	90
2025.12.23	11:43:00	1577.60	1577.60	1577.60	1577.60	1	0	90
2025.12.23	11:44:00	1577.73	1577.88	1577.73	1577.88	4	0	90
2025.12.23	11:45:00	1577.88	1577.88	1577.75	1577.76	3	0	90
2025.12.23	11:46:00	1577.76	1577.76	1577.76	1577.76	1	0	90
2025.12.23	11:47:00	1577.75	1577.88	1577.75	1577.88	2	0	90
2025.12.23	11:48:00	1577.88	1577.88	1577.76	1577.76	2	0	90
2025.12.23	11:49:00	1577.76	1577.77	1577.76	1577.77	2	0	90
2025.12.23	11:50:00	1577.77	1577.77	1577.77	1577.77	1	0	90
2025.12.23	11:51:00	1577.77	1577.78	1577.77	1577.78	2	0	90
2025.12.23	11:52:00	1577.78	1577.78	1577.78	1577.78	1	0	90
2025.12.23	11:53:00	1577.78	1577.78	1577.78	1577.78	1	0	90
2025.12.23	11:54:00	1577.78	1577.90	1577.52	1577.89	5	0	90
2025.12.23	11:55:00	1577.89	1578.01	1577.62	1577.62	6	0	90
2025.12.23	11:56:00	1577.62	1577.62	1577.59	1577.59	4	0	90
2025.12.23	11:57:00	1577.59	1577.59	1577.57	1577.57	3	0	90
2025.12.23	11:58:00	1577.55	1577.55	1577.53	1577.53	3	0	90
2025.12.23	11:59:00	1577.52	1577.52	1577.52	1577.52	1	0	90
2025.12.23	12:00:00	1577.52	1577.52	1577.50	1577.50	3	0	90
2025.12.23	12:01:00	1577.49	1577.50	1577.49	1577.50	2	0	90
2025.12.23	12:02:00	1577.63	1577.64	1577.63	1577.64	2	0	90
2025.12.23	12:03:00	1577.76	1578.01	1577.76	1578.01	2	0	90
2025.12.23	12:04:00	1578.01	1578.14	1578.01	1578.14	3	0	90
2025.12.23	12:05:00	1578.14	1578.14	1578.02	1578.02	2	0	90
2025.12.23	12:06:00	1578.02	1578.02	1578.02	1578.02	1	0	90
2025.12.23	12:07:00	1578.01	1578.01	1578.01	1578.01	1	0	90
2025.12.23	12:08:00	1578.01	1578.01	1578.01	1578.01	1	0	90
2025.12.23	12:09:00	1578.05	1578.06	1578.05	1578.06	2	0	90
2025.12.23	12:10:00	1578.07	1578.07	1578.04	1578.04	2	0	90
2025.12.23	12:11:00	1578.04	1578.05	1578.04	1578.05	2	0	90
2025.12.23	12:12:00	1578.06	1578.06	1578.06	1578.06	1	0	90
2025.12.23	12:13:00	1578.06	1578.06	1578.06	1578.06	1	0	90
2025.12.23	12:14:00	1578.06	1578.09	1578.06	1578.09	2	0	90
2025.12.23	12:15:00	1578.09	1578.11	1578.09	1578.11	2	0	90
2025.12.23	12:16:00	1578.11	1578.11	1578.11	1578.11	1	0	90
